"gene","celltype","sample","mean_logexpr","pct_expr"
"Rgs5","Excitatory neurons","Sample1",0.0045,0.0067
"Kcnj8","Excitatory neurons","Sample1",3e-04,6e-04
"Anpep","Excitatory neurons","Sample1",5e-04,6e-04
"Vtn","Excitatory neurons","Sample1",0.0052,0.0095
"Notch3","Excitatory neurons","Sample1",0.0163,0.0263
"Aqp4","Excitatory neurons","Sample1",0.0077,0.0129
"Gja1","Excitatory neurons","Sample1",0.0082,0.0118
"Cldn5","Inhibitory neurons","Sample1",0.0011,0.0013
"Ocln","Inhibitory neurons","Sample1",0.0098,0.0143
"Tjp1","Inhibitory neurons","Sample1",1.3958,0.9144
"Jam2","Inhibitory neurons","Sample1",0.0372,0.0447
"Cgn","Inhibitory neurons","Sample1",0.1056,0.1284
"Esam","Inhibitory neurons","Sample1",0.0056,0.0065
"Mfsd2a","Inhibitory neurons","Sample1",0.0025,0.0032
"Plvap","Inhibitory neurons","Sample1",0.0591,0.0785
"Cav1","Inhibitory neurons","Sample1",0.0051,0.0071
"Slc2a1","Inhibitory neurons","Sample1",0.0361,0.0486
"Abcb1a","Inhibitory neurons","Sample1",0.0051,0.0071
"Abcg2","Inhibitory neurons","Sample1",0.044,0.0551
"Slco1a4","Inhibitory neurons","Sample1",0.0074,0.0071
"Vcam1","Inhibitory neurons","Sample1",0.0022,0.0032
"Icam1","Inhibitory neurons","Sample1",6e-04,6e-04
"Vwf","Inhibitory neurons","Sample1",0.0018,0.0026
"Angpt2","Inhibitory neurons","Sample1",0.0295,0.0383
"Pdgfrb","Inhibitory neurons","Sample1",0.0076,0.0084
"Rgs5","Inhibitory neurons","Sample1",0.0014,0.0019
"Kcnj8","Inhibitory neurons","Sample1",0,0
"Anpep","Inhibitory neurons","Sample1",4e-04,6e-04
"Vtn","Inhibitory neurons","Sample1",0.0044,0.0065
"Notch3","Inhibitory neurons","Sample1",0.0271,0.035
"Aqp4","Inhibitory neurons","Sample1",0.0056,0.0065
"Gja1","Inhibitory neurons","Sample1",0.0064,0.0084
"Cldn5","Microglia","Sample1",0,0
"Ocln","Microglia","Sample1",0.0209,0.0119
"Tjp1","Microglia","Sample1",0.4246,0.2024
"Jam2","Microglia","Sample1",0.1621,0.0833
"Cgn","Microglia","Sample1",0,0
"Esam","Microglia","Sample1",0,0
"Mfsd2a","Microglia","Sample1",0.0239,0.0119
"Plvap","Microglia","Sample1",0,0
"Cav1","Microglia","Sample1",0,0
"Slc2a1","Microglia","Sample1",0.0603,0.0357
"Abcb1a","Microglia","Sample1",0.0193,0.0119
"Abcg2","Microglia","Sample1",0.3302,0.1548
"Slco1a4","Microglia","Sample1",0.0193,0.0119
"Vcam1","Microglia","Sample1",0.0343,0.0119
"Icam1","Microglia","Sample1",0.0561,0.0238
"Vwf","Microglia","Sample1",0,0
"Angpt2","Microglia","Sample1",0.0236,0.0119
"Pdgfrb","Microglia","Sample1",0.0576,0.0238
"Rgs5","Microglia","Sample1",0.0263,0.0119
"Kcnj8","Microglia","Sample1",0,0
"Anpep","Microglia","Sample1",0,0
"Vtn","Microglia","Sample1",0,0
"Notch3","Microglia","Sample1",0,0
"Aqp4","Microglia","Sample1",0,0
"Gja1","Microglia","Sample1",0.033,0.0238
"Cldn5","Oligodendrocytes","Sample1",0.0034,0.0028
"Ocln","Oligodendrocytes","Sample1",0.0056,0.0055
"Tjp1","Oligodendrocytes","Sample1",1.045,0.5152
"Jam2","Oligodendrocytes","Sample1",0.0362,0.0277
"Cgn","Oligodendrocytes","Sample1",0.0036,0.0028
"Esam","Oligodendrocytes","Sample1",0,0
"Mfsd2a","Oligodendrocytes","Sample1",0.0048,0.0028
"Plvap","Oligodendrocytes","Sample1",0.0136,0.0083
"Cav1","Oligodendrocytes","Sample1",0.0028,0.0028
"Slc2a1","Oligodendrocytes","Sample1",0.1372,0.0776
"Abcb1a","Oligodendrocytes","Sample1",0,0
"Abcg2","Oligodendrocytes","Sample1",0.0235,0.0139
"Slco1a4","Oligodendrocytes","Sample1",0.0043,0.0028
"Vcam1","Oligodendrocytes","Sample1",0.0051,0.0055
"Icam1","Oligodendrocytes","Sample1",0.0035,0.0028
"Vwf","Oligodendrocytes","Sample1",0.0042,0.0028
"Angpt2","Oligodendrocytes","Sample1",0.0038,0.0028
"Pdgfrb","Oligodendrocytes","Sample1",0.016,0.0111
"Rgs5","Oligodendrocytes","Sample1",0.0033,0.0028
"Kcnj8","Oligodendrocytes","Sample1",0.0033,0.0028
"Anpep","Oligodendrocytes","Sample1",0,0
"Vtn","Oligodendrocytes","Sample1",0.0034,0.0028
"Notch3","Oligodendrocytes","Sample1",0.0332,0.0277
"Aqp4","Oligodendrocytes","Sample1",0.0362,0.0249
"Gja1","Oligodendrocytes","Sample1",0.0381,0.0332
"Cldn5","OPC","Sample1",0.0143,0.0116
"Ocln","OPC","Sample1",0.0714,0.0465
"Tjp1","OPC","Sample1",1.4187,0.7442
"Jam2","OPC","Sample1",0.4571,0.3372
"Cgn","OPC","Sample1",0.0042,0.0116
"Esam","OPC","Sample1",0,0
"Mfsd2a","OPC","Sample1",0.1037,0.0814
"Plvap","OPC","Sample1",0.0291,0.0233
"Cav1","OPC","Sample1",0.1978,0.1628
"Slc2a1","OPC","Sample1",0.0376,0.0349
"Abcb1a","OPC","Sample1",0.0246,0.0116
"Abcg2","OPC","Sample1",0.3041,0.2209
"Slco1a4","OPC","Sample1",0.0364,0.0116
"Vcam1","OPC","Sample1",0.0163,0.0116
"Icam1","OPC","Sample1",0.0133,0.0116
"Vwf","OPC","Sample1",0.0325,0.0233
"Angpt2","OPC","Sample1",0.0439,0.0349
"Pdgfrb","OPC","Sample1",0.0285,0.0233
"Rgs5","OPC","Sample1",0,0
"Kcnj8","OPC","Sample1",0,0
"Anpep","OPC","Sample1",0,0
"Vtn","OPC","Sample1",0.0268,0.0233
"Notch3","OPC","Sample1",0,0
"Aqp4","OPC","Sample1",0,0
"Gja1","OPC","Sample1",0.0248,0.0233
"Cldn5","Pericytes","Sample1",0.0496,0.0217
"Ocln","Pericytes","Sample1",0,0
"Tjp1","Pericytes","Sample1",0.8769,0.3261
"Jam2","Pericytes","Sample1",0,0
"Cgn","Pericytes","Sample1",0,0
"Esam","Pericytes","Sample1",0.1571,0.0652
"Mfsd2a","Pericytes","Sample1",0.0496,0.0217
"Plvap","Pericytes","Sample1",0,0
"Cav1","Pericytes","Sample1",0.0932,0.0435
"Slc2a1","Pericytes","Sample1",0,0
"Abcb1a","Pericytes","Sample1",0.106,0.0435
"Abcg2","Pericytes","Sample1",0.1522,0.0652
"Slco1a4","Pericytes","Sample1",0.1596,0.0652
"Vcam1","Pericytes","Sample1",0,0
"Icam1","Pericytes","Sample1",0,0
"Vwf","Pericytes","Sample1",0.0496,0.0217
"Angpt2","Pericytes","Sample1",0,0
"Pdgfrb","Pericytes","Sample1",2.2034,0.7391
"Rgs5","Pericytes","Sample1",1.5194,0.5217
"Kcnj8","Pericytes","Sample1",0.2213,0.087
"Anpep","Pericytes","Sample1",0.2331,0.087
"Vtn","Pericytes","Sample1",1.7014,0.5435
"Notch3","Pericytes","Sample1",2.3447,0.7609
