"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","celltype","direction"
"GO:2000146","negative regulation of cell motility","15/299","296/17758",0.000157619151293613,0.00918949391504271,0.00780113058636908,"Zeb2/Nav3/Ptprk/Mef2c/Slit2/Nrg3/Pparg/Scai/Sema6d/Prkg1/Map2k5/Cdh11/Sinhcaf/Mcc/Ptprr",15,"Excitatory neurons","Up"
"GO:0003012","muscle system process","18/299","402/17758",0.000169864192358405,0.00937291017441373,0.00795683602610766,"Ryr2/Mlip/Cacna2d1/Mef2c/Camk2g/Chrm3/Uty/Dlg1/Tshz3/Prkca/Large1/Pparg/Dmd/Prkg1/Npnt/Atp1a1/Dock4/Arhgap42",18,"Excitatory neurons","Up"
"GO:1990138","neuron projection extension","12/299","203/17758",0.000175373035222544,0.00937291017441373,0.00795683602610766,"Syt1/Dcx/Slit2/Plxna4/Bcl11a/Dscam/Sema6d/Wasf1/Trpc5/Cyfip1/Mgll/Slit1",12,"Excitatory neurons","Up"
"GO:0001508","action potential","10/299","145/17758",0.000175664367482616,0.00937291017441373,0.00795683602610766,"Ryr2/Kcnh7/Cacna2d1/Nrcam/Grin2a/Dlg1/Trpc4/Dmd/Hcn1/Cacna1i",10,"Excitatory neurons","Up"
"GO:0090287","regulation of cellular response to growth factor stimulus","15/299","299/17758",0.00017593164728673,0.00937291017441373,0.00795683602610766,"Tcf4/Zeb2/Slit2/Itga8/Fbn1/Pparg/Dmd/Ccbe1/Wasf1/Fbn2/Npnt/Nrep/Cyfip1/Sinhcaf/Bmper",15,"Excitatory neurons","Up"
"GO:1902074","response to salt","15/299","299/17758",0.00017593164728673,0.00937291017441373,0.00795683602610766,"Syt1/Ryr2/Mef2c/Chrm3/Large1/Pparg/Cpne8/Asph/Slc1a2/Hcn1/Kcnh1/Pcdh15/Adcy8/Crhr1/Itpka",15,"Excitatory neurons","Up"
"GO:1902075","cellular response to salt","11/299","177/17758",0.000210865468390531,0.0110436321580804,0.00937514268027126,"Syt1/Mef2c/Chrm3/Large1/Pparg/Cpne8/Asph/Slc1a2/Kcnh1/Adcy8/Itpka",11,"Excitatory neurons","Up"
"GO:0001823","mesonephros development","8/299","97/17758",0.000232354395725829,0.0119662513798802,0.0101583711254169,"Slit2/Zbtb16/Dlg1/Tshz3/Fmn1/Fat4/Npnt/Bmper",8,"Excitatory neurons","Up"
"GO:0014912","negative regulation of smooth muscle cell migration","5/299","34/17758",0.000243977782641201,0.0123588745633002,0.0104916761750108,"Mef2c/Slit2/Pparg/Sema6d/Prkg1",5,"Excitatory neurons","Up"
"GO:0050772","positive regulation of axonogenesis","8/299","100/17758",0.000286475312135598,0.0142775599112742,0.0121204834947693,"Zeb2/Dcx/Plxna4/Bcl11a/Dscam/Plxna2/Trpc5/Cyfip1",8,"Excitatory neurons","Up"
"GO:0048167","regulation of synaptic plasticity","13/299","247/17758",0.000298203169555675,0.0144638182321509,0.0122786016128496,"Mef2c/Grin2a/Tshz3/Npas4/Large1/Adcy1/Rapgef2/Nrgn/Adcy8/Crhr1/Itpka/Mgll/Rasgrf2",13,"Excitatory neurons","Up"
"GO:0098885","modification of postsynaptic actin cytoskeleton","4/299","20/17758",0.000308446490248047,0.0144638182321509,0.0122786016128496,"Kalrn/Wasf1/Cyfip1/Itpka",4,"Excitatory neurons","Up"
"GO:0007612","learning","11/299","185/17758",0.000308935923405165,0.0144638182321509,0.0122786016128496,"Kalrn/Csmd1/Nfix/Grin2a/Clstn2/Npas4/Taco1/Gabra5/Tafa2/Epm2a/Crhr1",11,"Excitatory neurons","Up"
