"gene","cluster","mean_logexpr"
"Cd68","g10",0.27697159583018
"Cd68","g11",0
"Cd68","g12",0
"Cd68","g13",0
"Cd68","g14",0
"Cd68","g15",0
"Cd68","g16",0.0481097672449461
"Dlg4","g0",0.740784295011442
"Dlg4","g1",0.93709433346353
"Dlg4","g2",1.30395787083007
"Dlg4","g3",0.0706724297422906
"Dlg4","g4",0.934449168804143
"Dlg4","g5",0.934133158989526
"Dlg4","g6",0.612122730406185
"Dlg4","g7",1.1516229767076
"Dlg4","g8",1.0773326103285
"Dlg4","g9",0.376248990526739
"Dlg4","g10",0.165388457802407
"Dlg4","g11",0.520397235329541
"Dlg4","g12",0
"Dlg4","g13",0.51580744442101
"Dlg4","g14",0.906171093981282
"Dlg4","g15",1.16817719817704
"Dlg4","g16",0.698800794646744
"Ccl5","g0",0.000978154867347528
"Ccl5","g1",0.00240670759032253
"Ccl5","g2",0
"Ccl5","g3",0
"Ccl5","g4",0
"Ccl5","g5",0
"Ccl5","g6",0.0099941634085694
"Ccl5","g7",0
"Ccl5","g8",0
"Ccl5","g9",0
"Ccl5","g10",0
"Ccl5","g11",0
"Ccl5","g12",0
"Ccl5","g13",0
"Ccl5","g14",0
"Ccl5","g15",0
"Ccl5","g16",0
"Ccl3","g0",0
"Ccl3","g1",0
"Ccl3","g2",0
"Ccl3","g3",0
"Ccl3","g4",0.00187402784805382
"Ccl3","g5",0
"Ccl3","g6",0
"Ccl3","g7",0
"Ccl3","g8",0
"Ccl3","g9",0
"Ccl3","g10",0.20669634474066
"Ccl3","g11",0
"Ccl3","g12",0
"Ccl3","g13",0
"Ccl3","g14",0
"Ccl3","g15",0
"Ccl3","g16",0
"Ccl4","g0",0
"Ccl4","g1",0
"Ccl4","g2",0
"Ccl4","g3",0.000968766953421685
"Ccl4","g4",0
"Ccl4","g5",0
"Ccl4","g6",0
"Ccl4","g7",0
"Ccl4","g8",0
"Ccl4","g9",0
"Ccl4","g10",0.520198105040548
"Ccl4","g11",0
"Ccl4","g12",0
"Ccl4","g13",0
"Ccl4","g14",0
"Ccl4","g15",0
"Ccl4","g16",0
"Stat3","g0",0.512590711546632
"Stat3","g1",0.306114998244184
"Stat3","g2",0.290729659497401
"Stat3","g3",1.15145288905733
"Stat3","g4",0.4752234411756
"Stat3","g5",0.508429856543712
"Stat3","g6",2.03055328584689
"Stat3","g7",0.394708598492193
"Stat3","g8",0.35676139381909
"Stat3","g9",2.71171082936892
"Stat3","g10",1.71256492151677
"Stat3","g11",1.22513574101346
"Stat3","g12",2.41201711278729
"Stat3","g13",0.507194477395577
"Stat3","g14",0.596856256709094
"Stat3","g15",0.677977020487567
"Stat3","g16",1.03380779168765
"Gfap","g0",0.00548805304451296
"Gfap","g1",0.00186153805486399
"Gfap","g2",0.00667817741199974
"Gfap","g3",0.0191957001631635
"Gfap","g4",0
"Gfap","g5",0.00189361661837944
"Gfap","g6",0.737254376955839
"Gfap","g7",0
"Gfap","g8",0
"Gfap","g9",0
"Gfap","g10",0.200120072043226
"Gfap","g11",0
"Gfap","g12",0
"Gfap","g13",0
"Gfap","g14",0
"Gfap","g15",0
"Gfap","g16",0
"Rbfox3","g0",2.16070472646566
"Rbfox3","g1",4.37840573133323
"Rbfox3","g2",5.51536722923833
"Rbfox3","g3",0.221241051255445
"Rbfox3","g4",1.97663035494189
"Rbfox3","g5",3.29227558302202
"Rbfox3","g6",0.115933941487317
