"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
0.551797245961497,0.263548777976502,0.63,0.568,1,"Paxbp1","Choroid plexus"
0.552096878980905,-0.443948778930994,0.259,0.318,1,"Cdc42","Choroid plexus"
0.552371427381715,0.883463856395839,0.148,0.114,1,"Ccar2","Choroid plexus"
0.552983335167688,0.321920032912942,0.148,0.091,1,"Dr1","Choroid plexus"
0.553076292597099,0.399528315984664,0.556,0.523,1,"Bbx","Choroid plexus"
0.553306665057378,-0.487517824541323,0.222,0.295,1,"Taz","Choroid plexus"
0.55352349383076,0.487412110206803,0.185,0.136,1,"Foxp2","Choroid plexus"
0.55352349383076,0.271161764679574,0.185,0.136,1,"Kcnc3","Choroid plexus"
0.55352349383076,0.405907632004034,0.185,0.136,1,"Cyb561","Choroid plexus"
0.55352349383076,1.2180187325436,0.185,0.136,1,"Nadk2","Choroid plexus"
0.553667211647553,0.298097689128491,0.963,0.932,1,"Cmss1","Choroid plexus"
0.554351115279889,0.312603766986837,0.667,0.523,1,"Spata6","Choroid plexus"
0.554557881764157,-0.400753237654322,0.185,0.25,1,"Wipi2","Choroid plexus"
0.554557881764157,-0.847836945024852,0.185,0.25,1,"Bnip2","Choroid plexus"
0.554557881764157,-0.39526823523731,0.185,0.25,1,"Atg5","Choroid plexus"
0.554557881764157,-0.871929181865441,0.185,0.25,1,"Ptprs","Choroid plexus"
0.555183276219087,-0.305437526519023,0.444,0.568,1,"Pced1b","Choroid plexus"
0.555766516429595,-0.636495912993672,0.185,0.227,1,"Sdhc","Choroid plexus"
0.555766516429595,-0.891373608954906,0.185,0.227,1,"Szrd1","Choroid plexus"
0.556394899805285,0.598220507162667,0.222,0.182,1,"Otulin","Choroid plexus"
0.556431620314321,-0.443667666942596,0.37,0.477,1,"Pspc1","Choroid plexus"
0.556816669654852,-0.536772677676943,0.556,0.568,1,"Slc5a3","Choroid plexus"
0.557341318380406,0.358540313880015,0.593,0.614,1,"Mamld1","Choroid plexus"
0.557508961531905,0.353277218992143,0.444,0.409,1,"Impact","Choroid plexus"
0.558242322381215,0.377922303060453,0.259,0.341,1,"Lats1","Choroid plexus"
0.558907127691582,-0.265626165373634,0.63,0.705,1,"Dip2c","Choroid plexus"
0.559108967339981,-0.684384947025481,0.296,0.341,1,"Fermt2","Choroid plexus"
0.559110730922217,-0.424023003753916,0.333,0.432,1,"Trim35","Choroid plexus"
0.560818073930413,-0.298268097107696,0.444,0.5,1,"Myo9a","Choroid plexus"
0.561126866858265,-0.838586182006422,0.222,0.273,1,"Pank1","Choroid plexus"
0.561126866858265,-0.750768386055897,0.222,0.273,1,"Zfp182","Choroid plexus"
0.561955793299591,-0.736851062242344,0.259,0.318,1,"Gripap1","Choroid plexus"
0.562233327328796,-0.504155724849799,0.148,0.205,1,"Bcas2","Choroid plexus"
