"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Greb1",2.85854836630836e-08,1.9933474346791,0.036,0.008,0.000603067948840075,"0","Greb1"
"Bicral",2.86546752391106e-08,0.266314202844732,0.623,0.499,0.000604527683519517,"0","Bicral"
"Anapc10",2.87175434647114e-08,0.311927805332423,0.406,0.288,0.000605854014475017,"0","Anapc10"
"Dsc2",2.87344703408479e-08,2.61012005908301,0.045,0.011,0.000606211120780869,"0","Dsc2"
"Cgref1",2.88448754004509e-08,1.72276687795751,0.06,0.019,0.000608540336323313,"0","Cgref1"
"Usp34",2.88597273481208e-08,0.19573829383909,0.951,0.824,0.000608853667863304,"0","Usp34"
"Fgf18",2.90740660519401e-08,1.72457097567032,0.036,0.008,0.00061337557149778,"0","Fgf18"
"Nt5c2",3.0562063560745e-08,0.183172294891872,0.748,0.617,0.000644767854941037,"0","Nt5c2"
"C230014O12Rik",3.06641029538333e-08,1.67933286577408,0.089,0.036,0.000646920580017021,"0","C230014O12Rik"
"Epb41l5",3.09836190732222e-08,0.345482372455503,0.259,0.155,0.000653661411587768,"0","Epb41l5"
"Eea1",3.11098327401136e-08,0.229655328556082,0.545,0.421,0.000656324141318177,"0","Eea1"
"Metap2",3.14472654066577e-08,0.413624092694619,0.458,0.345,0.000663442958284257,"0","Metap2"
"Ctbp2",3.16649898274944e-08,0.975123535820511,0.071,0.025,0.00066803629039065,"0","Ctbp2"
"Arhgap36",3.18592959245409e-08,3.27375626206981,0.013,0.001,0.00067213556612004,"0","Arhgap36"
"Hnrnpd",3.22837289369756e-08,0.353123447872537,0.458,0.334,0.000681089829383373,"0","Hnrnpd"
"Car10",3.23731373935968e-08,0.226994707561072,0.781,0.606,0.000682976079592711,"0","Car10"
"Itfg1",3.35036529499636e-08,0.348232958281266,0.645,0.531,0.000706826566285382,"0","Itfg1"
"Stmn3",3.3506161242916e-08,0.498810501584275,0.402,0.289,0.000706879483741798,"0","Stmn3"
"Capn15",3.45406249813328e-08,0.42537358997766,0.377,0.268,0.000728703565231178,"0","Capn15"
"Lrsam1",3.51814431224028e-08,0.759253691956554,0.19,0.105,0.000742222905553332,"0","Lrsam1"
"Pnkd",3.56447371910717e-08,0.433381431862969,0.368,0.258,0.000751997020520039,"0","Pnkd"
"Erlec1",3.6564329314182e-08,0.400501845852604,0.442,0.322,0.000771397655541298,"0","Erlec1"
"Dync1h1",3.68056130263822e-08,0.268172128224778,0.638,0.514,0.000776488018017584,"0","Dync1h1"
"Slc9a6",3.68810275741929e-08,0.548557205684166,0.292,0.189,0.000778079038732748,"0","Slc9a6"
"Gnl3l",3.69334249017425e-08,0.56260962827339,0.375,0.266,0.000779184465152061,"0","Gnl3l"
"Specc1l",3.71831796900621e-08,0.148214556329849,0.614,0.471,0.00078445354192124,"0","Specc1l"
"Fam120c",3.72346561263267e-08,0.304293190306586,0.638,0.505,0.000785539540297115,"0","Fam120c"
"Chl1",3.74501642174069e-08,0.370147371024023,0.672,0.551,0.000790086114494634,"0","Chl1"
"Uqcc1",3.77474706223512e-08,0.437218047524955,0.402,0.286,0.000796358387719743,"0","Uqcc1"
"Mccc1",3.90230936891886e-08,0.444793195357955,0.404,0.291,0.000823270207560813,"0","Mccc1"
"Mettl16",3.97217631741943e-08,0.402326402259755,0.388,0.281,0.000838010037685977,"0","Mettl16"
"Arih1",4.04262358038027e-08,0.167374843161064,0.866,0.722,0.000852872296752826,"0","Arih1"
"Sipa1l3",4.04295184894414e-08,0.153669958201883,0.464,0.33,0.000852941551571745,"0","Sipa1l3"
"Olfm2",4.38938326369183e-08,0.499868041865888,0.413,0.293,0.000926028187141066,"0","Olfm2"
"Ppip5k1",4.39879024923346e-08,0.316048039111424,0.589,0.453,0.000928012778880784,"0","Ppip5k1"
"Styk1",4.4269916050782e-08,2.44055843875843,0.029,0.005,0.000933962418923348,"0","Styk1"
"Rlf",4.55685545784958e-08,0.212121000064832,0.65,0.514,0.000961359795942525,"0","Rlf"
"Gm15892",4.55932209973085e-08,1.20379219834446,0.083,0.031,0.000961880183380217,"0","Gm15892"
"Ndufaf2",4.69282953296607e-08,0.265488685154273,0.375,0.258,0.000990046246569852,"0","Ndufaf2"
"Rnf214",4.74059513746381e-08,0.23545402283521,0.435,0.319,0.00100012335615074,"0","Rnf214"
"Zbtb11",4.77407211117843e-08,0.420147854584352,0.484,0.366,0.00100718599329531,"0","Zbtb11"
"Ngb",4.80947298889951e-08,3.36801896886079,0.018,0.002,0.00101465451646813,"0","Ngb"
"Hfm1",4.92184629158706e-08,0.986206407396252,0.205,0.12,0.00103836191213612,"0","Hfm1"
"Usp20",4.94155113482055e-08,0.589966703684222,0.281,0.18,0.00104251904291309,"0","Usp20"
"Hlcs",4.96688473885457e-08,0.308923193205053,0.469,0.345,0.00104786367335615,"0","Hlcs"
"Trappc9",4.999827702518e-08,0.195717989710322,0.732,0.603,0.00105481365040022,"0","Trappc9"
"Lancl3",5.03040618689008e-08,1.18294763777275,0.071,0.025,0.0010612647932482,"0","Lancl3"
"Fbxl17",5.10848227924098e-08,0.195914296811052,0.964,0.854,0.00107773650645147,"0","Fbxl17"
"Brd8",5.11004944176453e-08,0.207286432632742,0.475,0.351,0.00107806713072906,"0","Brd8"
"Trim66",5.16863401611251e-08,1.04989534757333,0.19,0.108,0.00109042671837926,"0","Trim66"
"Xrcc5",5.26466735237834e-08,0.41281159602318,0.344,0.233,0.00111068687133126,"0","Xrcc5"
"Gfod2",5.29998536146671e-08,0.76048449636139,0.268,0.173,0.00111813791170863,"0","Gfod2"
"Ttc17",5.35842483809929e-08,0.23062322263483,0.692,0.568,0.00113046688809381,"0","Ttc17"
"Gm33680",5.38378797862035e-08,0.297498008635012,0.116,0.051,0.00113581774984953,"0","Gm33680"
"Kansl3",5.44247969503085e-08,0.293521023072788,0.366,0.254,0.00114819994126066,"0","Kansl3"
"Pard6g",5.69543802456605e-08,0.45946074968598,0.17,0.089,0.0012015665600427,"0","Pard6g"
"Cit",5.91329123546774e-08,0.106774586043142,0.683,0.51,0.00124752705194663,"0","Cit"
"Nek10",5.96801462998078e-08,1.05043050544828,0.203,0.118,0.00125907204648705,"0","Nek10"
"Miat",6.01958650025279e-08,0.324947480876067,0.643,0.496,0.00126995216395833,"0","Miat"
"Taf15",6.11913446146211e-08,0.137138960890276,0.719,0.596,0.00129095379733466,"0","Taf15"
"Parp6",6.23014908089447e-08,0.38065029852936,0.435,0.332,0.00131437455159631,"0","Parp6"
"Cacul1",6.35511622307957e-08,0.200903252768271,0.464,0.345,0.0013407388695831,"0","Cacul1"
"Rimklb",6.44316836683003e-08,0.505674401362337,0.221,0.129,0.00135931523035013,"0","Rimklb"
"Nsmaf",6.45187228909135e-08,0.239358425120018,0.482,0.359,0.0013611514968296,"0","Nsmaf"
"Megf6",6.59209829978645e-08,0.526496938533898,0.047,0.013,0.00139073497830595,"0","Megf6"
"Ythdc2",6.61325420206647e-08,0.314408748288706,0.542,0.422,0.00139519823900996,"0","Ythdc2"
"Ddx50",6.67872507868721e-08,0.289642329682629,0.632,0.531,0.00140901062985064,"0","Ddx50"
"Runx1t1",6.68754942872609e-08,0.484651926719685,0.676,0.557,0.00141087230297834,"0","Runx1t1"
"Hsp90aa1",6.84378050972587e-08,0.337913029263127,0.339,0.229,0.00144383237413687,"0","Hsp90aa1"
"Zfp451",6.87049553267275e-08,0.298913445469351,0.525,0.409,0.00144946844252797,"0","Zfp451"
"Fam13a",6.9095910668746e-08,0.454784003173301,0.438,0.324,0.00145771642737853,"0","Fam13a"
"Pgr",6.9681267973716e-08,0.76339527997895,0.342,0.238,0.00147006571044149,"0","Pgr"
"Cda",6.97044466587017e-08,1.85562834590545,0.08,0.031,0.00147055471115863,"0","Cda"
"Galnt1",7.00256597934023e-08,0.155786122920816,0.5,0.372,0.00147733134466141,"0","Galnt1"
"Gm31282",7.15775976740299e-08,1.13617465340355,0.138,0.07,0.00151007257812901,"0","Gm31282"
"Pck2",7.15863014480203e-08,0.938795787590804,0.121,0.056,0.00151025620164888,"0","Pck2"
"Tbc1d12",7.18728136950446e-08,0.22696537030076,0.487,0.368,0.00151630075052436,"0","Tbc1d12"
"Fndc5",7.19971807995788e-08,1.04530660662598,0.118,0.054,0.00151892452332871,"0","Fndc5"
"Cdk12",7.2302687646008e-08,0.154430310890626,0.739,0.595,0.00152536980126783,"0","Cdk12"
"Hcn3",7.25569146293899e-08,1.37925481345739,0.087,0.035,0.00153073322793624,"0","Hcn3"
"Aifm2",7.37285479273716e-08,1.12889575776528,0.056,0.017,0.00155545117562376,"0","Aifm2"
"Ago3",7.40182594813664e-08,0.186659615071507,0.728,0.591,0.00156156322027839,"0","Ago3"
"Lncpint",7.48911272530628e-08,0.230267450782704,0.969,0.848,0.00157997811165787,"0","Lncpint"
"Zmym2",7.50879775259982e-08,0.230945369972011,0.721,0.606,0.00158413106186598,"0","Zmym2"
"Aktip",7.57200757919042e-08,0.430413489618471,0.243,0.147,0.0015974664389818,"0","Aktip"
"Gm47033",7.62965312821839e-08,2.72365922791569,0.031,0.006,0.00160962792046023,"0","Gm47033"
"Kcnk10",7.72004682506756e-08,0.420915832549294,0.417,0.293,0.0016286982786845,"0","Kcnk10"
"Stxbp1",7.76564405240016e-08,0.263034104424751,0.701,0.552,0.00163831792573486,"0","Stxbp1"
"Ube2f",7.88751507916282e-08,0.355546449261832,0.337,0.229,0.00166402905625098,"0","Ube2f"
"Dicer1",7.93470504893556e-08,0.168262430138736,0.549,0.422,0.00167398472417393,"0","Dicer1"
"Ide",7.96437631022243e-08,0.323940604668338,0.545,0.423,0.00168024447016763,"0","Ide"
"Bahcc1",7.98378014945463e-08,0.43296427964979,0.208,0.119,0.00168433809813044,"0","Bahcc1"
"Txnrd3",8.18818451489938e-08,1.35227667529227,0.051,0.015,0.00172746128710832,"0","Txnrd3"
"Stambpl1",8.54800891788518e-08,0.407261662461905,0.306,0.202,0.00180337344140624,"0","Stambpl1"
"Uqcr10",8.77224366988223e-08,1.56427152391248,0.067,0.023,0.00185068024703505,"0","Uqcr10"
"Lonp2",8.78040630628112e-08,0.136370466125214,0.58,0.457,0.00185240231843613,"0","Lonp2"
"Oaz2",8.80760418115132e-08,0.516622496062729,0.257,0.163,0.00185814025409749,"0","Oaz2"
"Fnbp1l",8.94769387515066e-08,0.314184408065675,0.661,0.519,0.00188769497684053,"0","Fnbp1l"
"Tpr",8.98173386840677e-08,0.242316742315925,0.607,0.476,0.00189487639421778,"0","Tpr"
"Sos2",8.99399961718024e-08,0.18527148762061,0.496,0.38,0.00189746409923652,"0","Sos2"
"Phc2",9.15217253666056e-08,0.27680890435748,0.645,0.523,0.00193083384005928,"0","Phc2"
"Sec22a",9.25676671823617e-08,0.39550928802701,0.386,0.283,0.00195290007454628,"0","Sec22a"
"Tmem135",9.2894939354038e-08,0.132288297970669,0.781,0.651,0.00195980453555214,"0","Tmem135"
"Vamp4",9.40613243386916e-08,0.320487818610911,0.413,0.3,0.00198441175957338,"0","Vamp4"
"Psma1",9.44893223679678e-08,0.553609795896707,0.263,0.167,0.00199344123399702,"0","Psma1"
"Snph",9.57260386150791e-08,0.418820569850226,0.612,0.507,0.00201953223666232,"0","Snph"
"Zim3",9.58414805402963e-08,2.18104011608367,0.029,0.005,0.00202196771495863,"0","Zim3"
"Klhl29",9.61252712913142e-08,0.335645272672838,0.824,0.656,0.00202795484843286,"0","Klhl29"
"Ly75",9.66750029148143e-08,1.32562268302809,0.029,0.005,0.00203955253649384,"0","Ly75"
"Plpp1",9.69477393043797e-08,0.324683269676762,0.254,0.159,0.0020453064561045,"0","Plpp1"
"Tmie",9.93569754743677e-08,2.16126558824503,0.027,0.005,0.00209613411158274,"0","Tmie"
"Atf2",9.93653954846469e-08,0.287140348894327,0.699,0.571,0.0020963117485396,"0","Atf2"
"Acot7",1.0129833892195e-07,0.324777407625702,0.384,0.269,0.00213709105623637,"0","Acot7"
"Chd3",1.01479051831142e-07,0.36716019500487,0.473,0.352,0.0021409035564816,"0","Chd3"
"Prkar2b",1.02990894550076e-07,0.550798032702778,0.504,0.372,0.00217279890232295,"0","Prkar2b"
"Phip",1.03066769703348e-07,0.216458747522403,0.795,0.664,0.00217439964043153,"0","Phip"
"Slf1",1.03702508548223e-07,0.26082049899234,0.554,0.43,0.00218781182284186,"0","Slf1"
"Zfp949",1.04617565023244e-07,0.544810494823104,0.283,0.183,0.00220711676929537,"0","Zfp949"
"Mapk8ip2",1.05253874789716e-07,0.758823890525667,0.239,0.148,0.00222054099643864,"0","Mapk8ip2"
"Mrps10",1.07941083710134e-07,0.611981622990775,0.234,0.141,0.00227723304303271,"0","Mrps10"
"Exoc3",1.10307806151885e-07,0.255775682903277,0.467,0.354,0.00232716378638632,"0","Exoc3"
"Hdac9",1.1326192183611e-07,0.367928625851023,0.871,0.749,0.00238948676497641,"0","Hdac9"
"Adcyap1",1.14222144754045e-07,2.18590886877705,0.042,0.011,0.00240974458787609,"0","Adcyap1"
"Arl3",1.15215493315978e-07,0.312279420171615,0.46,0.337,0.0024307012624872,"0","Arl3"
"Gabbr1",1.1684310807648e-07,0.265103391997047,0.665,0.543,0.0024650390510895,"0","Gabbr1"
"Sgpp2",1.17271927445568e-07,0.545217869850451,0.272,0.173,0.00247408585331915,"0","Sgpp2"
"Ripor2",1.17649229194801e-07,0.534258597828612,0.522,0.412,0.00248204578832271,"0","Ripor2"
"Fyttd1",1.18514702556502e-07,0.291468627059426,0.491,0.375,0.00250030467983452,"0","Fyttd1"
"Lamtor4",1.19018220188519e-07,0.987495391136732,0.145,0.074,0.00251092739131718,"0","Lamtor4"
"Gm10248",1.20156421989564e-07,3.41408336982368,0.02,0.003,0.00253494003471383,"0","Gm10248"
"Onecut3",1.20234512197335e-07,4.7632297535268,0.011,0.001,0.00253658750382718,"0","Onecut3"
"Eri3",1.22052844736913e-07,0.190458237017485,0.661,0.531,0.00257494886541464,"0","Eri3"
"Raph1",1.22453944740064e-07,0.23285834332454,0.625,0.485,0.00258341087218114,"0","Raph1"
"Gm44644",1.23545785775877e-07,1.36681821879136,0.165,0.093,0.00260644544251367,"0","Gm44644"
"B4galt5",1.25117247916078e-07,0.565670679767456,0.306,0.208,0.0026395985792855,"0","B4galt5"
"Cdkl3",1.2953991080178e-07,0.500984328726305,0.308,0.208,0.00273290349818515,"0","Cdkl3"
"Scaf8",1.32975887320984e-07,0.180401110043342,0.817,0.684,0.0028053922948108,"0","Scaf8"
"Ubxn4",1.34161959054649e-07,0.243649646375444,0.56,0.442,0.00283041485017593,"0","Ubxn4"
"Riiad1",1.35018938254e-07,0.827644071039443,0.092,0.038,0.00284849454034464,"0","Riiad1"
"Nsd2",1.3979829789768e-07,0.226468079609715,0.703,0.567,0.00294932469074736,"0","Nsd2"
"G3bp1",1.40810241867951e-07,0.25905757500563,0.382,0.269,0.00297067367268816,"0","G3bp1"
"Ppp6r2",1.41155691078192e-07,0.241251377337979,0.667,0.523,0.00297796161467661,"0","Ppp6r2"
"Spaca6",1.42813084522018e-07,0.366590993255686,0.4,0.291,0.00301292764416102,"0","Spaca6"
"Spg7",1.44866898649726e-07,0.370387704646244,0.362,0.251,0.00305625696081326,"0","Spg7"
"Pomt1",1.50622116393292e-07,1.21047665746823,0.107,0.049,0.00317767478954927,"0","Pomt1"
"Cox18",1.54148671931099e-07,0.708472619703374,0.19,0.108,0.00325207453173039,"0","Cox18"
"Hdgfl3",1.54622629258015e-07,0.30214560871302,0.643,0.527,0.00326207360945633,"0","Hdgfl3"
"Lrrc45",1.55028399508547e-07,0.587815397704403,0.281,0.188,0.00327063414443181,"0","Lrrc45"
"Atg9b",1.55030516163564e-07,2.58776358057365,0.031,0.006,0.00327067879950271,"0","Atg9b"
"Cpeb3",1.55258712983531e-07,0.229043646999138,0.868,0.752,0.00327549306781356,"0","Cpeb3"
"Caly",1.55848766574137e-07,0.812416437960707,0.263,0.175,0.00328794142841458,"0","Caly"
"Kcnh5",1.56031842738071e-07,0.23100001925824,0.487,0.353,0.00329180378624508,"0","Kcnh5"
"Raf1",1.56980156616429e-07,0.189365552001779,0.614,0.489,0.0033118103641368,"0","Raf1"
"Gm2897",1.59465673482498e-07,1.6878456373979,0.036,0.008,0.00336424731346027,"0","Gm2897"
"Eif2ak4",1.60172101349752e-07,0.212854966547708,0.467,0.352,0.00337915082217572,"0","Eif2ak4"
"Pcca",1.63443801604962e-07,0.218991509171139,0.797,0.691,0.00344817388245988,"0","Pcca"
"Ankrd12",1.63973182703235e-07,0.181148621645126,0.859,0.711,0.00345934223549014,"0","Ankrd12"
"Cfap57",1.68535533767537e-07,1.60073129010258,0.031,0.006,0.00355559415589373,"0","Cfap57"
"Cryzl1",1.68623025161073e-07,0.352962930644074,0.54,0.418,0.00355743996182316,"0","Cryzl1"
"Srsf10",1.69561110185197e-07,0.238717837775362,0.469,0.344,0.0035772307415771,"0","Srsf10"
"Hnrnpa3",1.70042986451652e-07,0.108957515146773,0.493,0.37,0.0035873968851705,"0","Hnrnpa3"
"Atp6v1b2",1.70204297683544e-07,0.232426713625583,0.527,0.4,0.00359080006822973,"0","Atp6v1b2"
"Zscan26",1.70610312293368e-07,0.399918474654368,0.321,0.218,0.00359936575845319,"0","Zscan26"
"Akap11",1.70818768545669e-07,0.187182121098503,0.623,0.5,0.00360376356000798,"0","Akap11"
"Glg1",1.71045094853754e-07,0.165270118408957,0.734,0.603,0.00360853836612964,"0","Glg1"
"Gm28756",1.73654987234986e-07,0.993387279434393,0.161,0.087,0.0036635992656965,"0","Gm28756"
"Xkr7",1.76716663527405e-07,1.32157537227916,0.089,0.037,0.00372819145043767,"0","Xkr7"
"Gon4l",1.76924100965295e-07,0.227008687360674,0.527,0.417,0.00373256775806484,"0","Gon4l"
"Camk2n2",1.79746161750293e-07,1.56013742567341,0.056,0.018,0.00379210477444592,"0","Camk2n2"
"Gm48485",1.81506643615558e-07,2.96080802807782,0.022,0.003,0.00382924566035743,"0","Gm48485"
"Cdc42bpb",1.82804674443013e-07,0.240150128483617,0.509,0.397,0.00385663021672425,"0","Cdc42bpb"
"Rbm6",1.83294805616825e-07,0.225989606438175,0.891,0.758,0.00386697051409815,"0","Rbm6"
"Slc8a1",1.86526835276212e-07,0.16742468605349,0.951,0.787,0.00393515664382225,"0","Slc8a1"
"Cep350",1.89695230150749e-07,0.155152444923591,0.688,0.566,0.00400200027049035,"0","Cep350"
"Ago1",1.93581510783211e-07,0.384897122303176,0.408,0.303,0.0040839891329934,"0","Ago1"
"Sntg2",1.9471850474411e-07,0.87614602389157,0.315,0.218,0.00410797629458649,"0","Sntg2"
"B4galt6",1.9675143702833e-07,0.339731942294037,0.395,0.284,0.00415086506698667,"0","B4galt6"
"G630018N14Rik",1.9769537617229e-07,1.87175107337798,0.047,0.013,0.00417077935110681,"0","G630018N14Rik"
"Clcn5",2.00041571994678e-07,0.165046585974512,0.263,0.161,0.00422027704437171,"0","Clcn5"
"Thada",2.03196872919476e-07,0.231138904656623,0.654,0.541,0.00428684442798218,"0","Thada"
"Rad54l2",2.03972749304485e-07,0.265119857468369,0.435,0.324,0.00430321309207673,"0","Rad54l2"
"Nyap1",2.06026459180239e-07,1.0598010364236,0.181,0.104,0.0043465402093255,"0","Nyap1"
"2310061I04Rik",2.06933111629754e-07,1.06522017682654,0.109,0.05,0.00436566785605293,"0","2310061I04Rik"
"Qser1",2.08504907552609e-07,0.457260474359004,0.342,0.24,0.00439882803463738,"0","Qser1"
"Rpgrip1l",2.09147023200372e-07,0.490560464190389,0.393,0.291,0.00441237474845825,"0","Rpgrip1l"
"Farsb",2.09744066663122e-07,0.389903279334033,0.509,0.412,0.00442497057439188,"0","Farsb"
"Grik3",2.09835235434975e-07,0.33841108738831,0.462,0.331,0.00442689396197167,"0","Grik3"
"Gm40437",2.12833463090201e-07,1.16349211599821,0.147,0.078,0.00449014757081396,"0","Gm40437"
"Mafg",2.19048520818873e-07,0.352184859564309,0.335,0.232,0.00462126664371577,"0","Mafg"
"Tex15",2.20879367844471e-07,2.38738513635388,0.058,0.019,0.0046598920234148,"0","Tex15"
"Chfr",2.21066855791698e-07,0.320931144210644,0.529,0.424,0.00466384745663745,"0","Chfr"
"Nipsnap2",2.21607406323967e-07,0.343786490799549,0.393,0.282,0.00467525145121674,"0","Nipsnap2"
"St3gal3",2.29770944015389e-07,0.174611534095417,0.598,0.487,0.00484747760589266,"0","St3gal3"
"Rela",2.30965145227199e-07,0.693485977989935,0.127,0.063,0.00487267166885822,"0","Rela"
"Slc2a3",2.35267074232264e-07,0.540977100745839,0.413,0.311,0.00496342946507808,"0","Slc2a3"
"Tmtc3",2.38083225405205e-07,0.486062795069473,0.232,0.144,0.00502284180637362,"0","Tmtc3"
"Gm12258",2.40051794615434e-07,0.523930179840846,0.228,0.139,0.00506437271100182,"0","Gm12258"
"Apba1",2.40138558280742e-07,0.349707456491261,0.839,0.714,0.00506620316404881,"0","Apba1"
"Ppp2r5e",2.40294264213295e-07,0.147364888521278,0.725,0.59,0.00506948809210788,"0","Ppp2r5e"
"Hs3st4",2.43153393284277e-07,0.3973390924435,0.587,0.46,0.00512980713811839,"0","Hs3st4"
"Ttc6",2.45888670447184e-07,3.38133379530275,0.036,0.009,0.00518751328042423,"0","Ttc6"
"Sdha",2.5490561246427e-07,0.225272840841011,0.513,0.395,0.0053777437061587,"0","Sdha"
"Zfp207",2.57210640482223e-07,0.204924602189705,0.638,0.517,0.00542637288225346,"0","Zfp207"
"Efemp2",2.58557291951046e-07,1.39925259758172,0.051,0.016,0.00545478318829121,"0","Efemp2"
"Fbxo25",2.62638817829282e-07,0.555654799493834,0.275,0.179,0.00554089113974436,"0","Fbxo25"
"Smim14",2.62668739073197e-07,0.213588554078375,0.641,0.519,0.00554152238822724,"0","Smim14"
"Slc25a20",2.64340182259007e-07,0.832237535784999,0.112,0.052,0.00557678482511826,"0","Slc25a20"
"Phf6",2.6866785612639e-07,0.45701946487056,0.346,0.248,0.00566808576069845,"0","Phf6"
"Gabre",2.71535214595858e-07,2.20933622999205,0.013,0.001,0.00572857842232883,"0","Gabre"
"Tvp23a",2.82149215318774e-07,0.8557167372575,0.174,0.099,0.00595250199558017,"0","Tvp23a"
"Araf",2.83373247851553e-07,0.401283838818413,0.422,0.315,0.00597832540992421,"0","Araf"
"Gm31645",2.87415412237111e-07,2.10714551190132,0.036,0.009,0.00606360295196633,"0","Gm31645"
"Chodl",2.87771379319576e-07,2.34364036053917,0.016,0.002,0.0060711127895051,"0","Chodl"
"Mff",2.89565999467204e-07,0.258273302903914,0.496,0.385,0.0061089738907596,"0","Mff"
"Irx2",2.89716157121559e-07,2.26031222547748,0.016,0.002,0.00611214176679352,"0","Irx2"
"Smc5",2.93329269584329e-07,0.180864768034646,0.569,0.443,0.00618836760042059,"0","Smc5"
"Tmem67",2.99609513662796e-07,0.670164591424224,0.279,0.191,0.00632086190974401,"0","Tmem67"
"Impdh1",3.01938258984712e-07,0.991607665528182,0.127,0.063,0.00636999144980047,"0","Impdh1"
"Ro60",3.02126965054294e-07,0.327545922984447,0.339,0.231,0.00637397258175044,"0","Ro60"
"Fam167a",3.04054392203948e-07,2.06116080002004,0.031,0.007,0.00641463551232669,"0","Fam167a"
"Wdr78",3.07002971947471e-07,0.493570333811486,0.324,0.227,0.00647684169917579,"0","Wdr78"
"Sod2",3.1498303429164e-07,0.486531950148406,0.415,0.317,0.00664519707445074,"0","Sod2"
"Qpct",3.23061164891051e-07,1.27134540822073,0.058,0.019,0.00681562139570651,"0","Qpct"
"Fbxw4",3.24127021351433e-07,0.287509601464029,0.538,0.435,0.00683810776945119,"0","Fbxw4"
"Rimbp2",3.27696841504144e-07,0.282688091211058,0.734,0.581,0.00691342026521293,"0","Rimbp2"
"Bivm",3.37007924661199e-07,0.685473364520825,0.196,0.115,0.00710985618657731,"0","Bivm"
"Herc1",3.37359621577808e-07,0.198255084461887,0.938,0.808,0.00711727593642702,"0","Herc1"
"Gls",3.41243582196388e-07,0.20039856570928,0.92,0.771,0.0071992158535972,"0","Gls"
"Bmper",3.42471445367964e-07,0.610175611352685,0.295,0.196,0.00722512008292795,"0","Bmper"
"Impad1",3.45531965441067e-07,0.489305124703295,0.248,0.158,0.0072896878749102,"0","Impad1"
"Tatdn1",3.49092146614291e-07,0.435698681605521,0.295,0.199,0.00736479701712169,"0","Tatdn1"
"P3h2",3.49820115360319e-07,0.18168538273703,0.277,0.178,0.00738015497375666,"0","P3h2"
"E130008D07Rik",3.62545551140861e-07,1.77493897920398,0.042,0.012,0.00764862349241874,"0","E130008D07Rik"
"Ocrl",3.63508828458376e-07,0.249318603097599,0.567,0.447,0.00766894575398637,"0","Ocrl"
"Lin7a",3.64955252648525e-07,0.324795233293266,0.6,0.48,0.00769946096512593,"0","Lin7a"
"Epha8",3.67106713752937e-07,1.70341865021786,0.074,0.029,0.0077448503400457,"0","Epha8"
"Uqcrc2",3.67714072582537e-07,0.321152387199599,0.402,0.296,0.00775766378927378,"0","Uqcrc2"
"Spire2",3.69700862737949e-07,0.862997534107597,0.174,0.099,0.0077995791011825,"0","Spire2"
"Dynlt1a",3.73927761373859e-07,0.895948588595745,0.132,0.067,0.00788875398170431,"0","Dynlt1a"
"Afmid",3.76391576410277e-07,0.895561196433111,0.056,0.018,0.00794073308752762,"0","Afmid"
"Gm3667",3.79587102160524e-07,2.50930019744241,0.029,0.006,0.00800814909428058,"0","Gm3667"
"Nsf",3.80213517534286e-07,0.227769287160146,0.846,0.694,0.00802136457942083,"0","Nsf"
"Tspan18",3.83007451269268e-07,0.57786835878554,0.1,0.044,0.00808030819942775,"0","Tspan18"
"Napb",3.83576136998928e-07,0.390186170570571,0.467,0.355,0.00809230576226638,"0","Napb"
"Taf1",3.91389016097666e-07,0.254444671552462,0.473,0.368,0.00825713407261246,"0","Taf1"
"Ecpas",3.9156307021127e-07,0.22454630118329,0.875,0.752,0.00826080609224716,"0","Ecpas"
"Hnrnph3",3.97433444445346e-07,0.189635885488522,0.54,0.425,0.00838465337746346,"0","Hnrnph3"
"Gm42397",3.98864305461975e-07,1.57675278311206,0.029,0.006,0.00841484025233129,"0","Gm42397"
"Mpp1",4.03751898460274e-07,0.578148648819012,0.179,0.101,0.00851795380181639,"0","Mpp1"
"Ndufs1",4.05178068548609e-07,0.288897041476143,0.471,0.362,0.00854804171217,"0","Ndufs1"
"Cd99l2",4.10774119233497e-07,0.334171406150017,0.375,0.27,0.00866610159346908,"0","Cd99l2"
"Setd2",4.11488527712127e-07,0.116268198032892,0.705,0.565,0.00868117346914273,"0","Setd2"
"Rai1",4.1332272250976e-07,0.229389720136366,0.536,0.419,0.0087198694767884,"0","Rai1"
"Gpr156",4.21295953904359e-07,1.06477982942066,0.062,0.022,0.00888808073952025,"0","Gpr156"
"Ubr1",4.2571711117657e-07,0.152344118303409,0.634,0.521,0.00898135389449209,"0","Ubr1"
"Slc39a6",4.2577065911096e-07,0.839067390720585,0.143,0.075,0.00898248359526393,"0","Slc39a6"
"Faf1",4.28612859830164e-07,0.196604597963854,0.924,0.798,0.00904244550383696,"0","Faf1"
"Ampd3",4.2997180450677e-07,0.192790996406889,0.23,0.139,0.00907111515967932,"0","Ampd3"
"Itfg2",4.32474802693906e-07,0.329082960677077,0.179,0.1,0.00912392091243333,"0","Itfg2"
"Cox7a2",4.34388992654289e-07,0.723122714778009,0.154,0.083,0.00916430457802753,"0","Cox7a2"
"Sc5d",4.41912812944766e-07,0.449418931673762,0.217,0.131,0.00932303461469574,"0","Sc5d"
"Nos1",4.41940386745844e-07,0.909477158821024,0.112,0.053,0.00932361633917708,"0","Nos1"
"Ctps2",4.47736389220702e-07,0.303738200245419,0.44,0.332,0.00944589460338916,"0","Ctps2"
