"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2"
"Kcnn2",0.685,0.436070181651487,0.37,0.853264301788577,0.826,0.547
"Cntnap4",0.684,0.579964930463232,0.368,1.29896186254203,0.603,0.258
"Mdga2",0.683,0.335966299149022,0.366,0.503671211434964,0.996,0.919
"Ptprn2",0.682,0.4025254645898,0.364,0.640934487293818,0.996,0.755
"Epb41l3",0.681,0.390957523158226,0.362,0.725783624712984,0.897,0.662
"Kcnc2",0.681,0.242050699236207,0.362,0.424183561834387,0.772,0.437
"Arhgap18",0.681,0.502373792700656,0.362,1.46916645151306,0.58,0.257
"Gria4",0.681,0.363332674770593,0.362,0.571463324808108,0.967,0.781
"Osbpl6",0.68,0.425552737384284,0.36,0.813394844117341,0.866,0.654
"Nxph1",0.679,0.491557916817652,0.358,0.833834292728243,0.598,0.239
"Gad2",0.679,0.587814202180825,0.358,1.71472579772124,0.52,0.171
"Lsamp",0.678,0.398299875750754,0.356,0.582227395620619,1,0.926
"Fchsd2",0.678,0.224393678288603,0.356,0.452223526341422,0.837,0.563
"Nalcn",0.677,0.351350476374814,0.354,0.63322092488092,0.962,0.731
"Traf3",0.677,0.394408508895576,0.354,1.06575727160785,0.65,0.345
"Mirg",0.676,0.396646334572787,0.352,1.15893247663975,0.652,0.367
"Sgcd",0.676,0.722063443607904,0.352,1.19154364920281,0.812,0.54
"Lin28b",0.676,0.45654249807761,0.352,1.45441918713161,0.587,0.282
"Tmem130",0.676,0.469285545181179,0.352,1.83625550503851,0.516,0.205
"Patj",0.676,0.432475286526239,0.352,1.30819069773287,0.605,0.302
"Elavl4",0.675,0.463858136609341,0.35,1.09158493034271,0.694,0.414
"Ablim3",0.673,0.442726252407313,0.346,1.45564143182206,0.569,0.267
"Parp8",0.673,0.315215189848187,0.346,0.704885200300206,0.761,0.476
"Cntnap5a",0.673,0.559831821913572,0.346,0.912611868820202,0.824,0.534
"Rasgrf1",0.672,0.402886297822635,0.344,0.750233944306525,0.855,0.637
"Ttc28",0.672,0.162068264511226,0.344,0.37918818483649,0.69,0.317
"Cacna1b",0.672,0.371950458500498,0.344,0.743587002665211,0.862,0.606
"Sdk1",0.671,0.557388496571238,0.342,1.06696505715158,0.67,0.359
"Elavl2",0.671,0.640091086298984,0.342,1.26220415442247,0.714,0.466
"Plcb4",0.671,0.3416748107446,0.342,0.666763537346407,0.766,0.46
"Aff2",0.669,0.510533878175259,0.338,1.09814956935112,0.719,0.468
"Snap91",0.669,0.334836845529452,0.338,0.633147125147437,0.902,0.685
"Cdh8",0.669,0.564762915156752,0.338,0.971973778038018,0.808,0.565
"Gm45323",0.669,0.697112555513072,0.338,2.76807948230624,0.411,0.08
"Unc5d",0.669,0.593130981517794,0.338,0.94651958735976,0.812,0.539
"Dzank1",0.669,0.399220276901331,0.338,1.02960658845655,0.71,0.456
"Mgat4c",0.668,0.670224854659957,0.336,1.06913326162403,0.815,0.607
"Tshz2",0.668,0.218266262716234,0.336,0.422194924006829,0.583,0.229
"Klf12",0.667,0.292404351982043,0.334,0.50421675644904,0.938,0.737
"Spock3",0.667,0.308738875421457,0.334,0.534649276324358,0.855,0.558
"Ctnna2",0.667,0.390656698492935,0.334,0.58843015197067,0.998,0.89
"Dpysl5",0.667,0.428414856622664,0.334,1.93735277976567,0.46,0.137
"Gm10125",0.666,0.373317541521294,0.332,1.07037847717873,0.605,0.311
"Csmd3",0.666,0.370674091993604,0.332,0.564594305726077,0.969,0.87
"Pbx3",0.666,0.827143045015377,0.332,1.67490617226379,0.576,0.287
"Pld5",0.666,0.794418287580719,0.332,1.95823342036375,0.498,0.182
"Ece2",0.665,0.407616341369684,0.33,1.90360333960414,0.455,0.146
"6330411D24Rik",0.664,0.811425928973188,0.328,2.70806724318032,0.388,0.064
"Cdh4",0.664,0.685471734834887,0.328,1.67510312674068,0.549,0.276
"Slc24a3",0.664,0.443277704019337,0.328,0.791557254144103,0.81,0.577
"Gmds",0.663,0.294319139228678,0.326,0.589330311091443,0.853,0.631
"Tnrc6a",0.663,0.263728778726448,0.326,0.518298197993216,0.879,0.691
"Amy1",0.663,0.318276389086098,0.326,0.907441590944228,0.629,0.347
"Gabra3",0.662,0.412236573104941,0.324,1.18558878688643,0.609,0.334
"Tmem117",0.662,0.283920401067157,0.324,0.62620849234528,0.766,0.486
"Pde4d",0.662,0.32187352385328,0.324,0.492931817512555,0.989,0.807
"Zfp618",0.662,0.437291607730835,0.324,1.82562176974747,0.46,0.16
"Zfhx4",0.661,0.503569545762257,0.322,1.31419215357137,0.556,0.263
"Htr2c",0.66,0.684329746262295,0.32,1.33675194626547,0.525,0.254
"Pak3",0.659,0.360706340854703,0.318,0.660827586833177,0.911,0.689
"Tmem91",0.659,0.393578498195519,0.318,2.2918889839147,0.406,0.103
"Tmx4",0.659,0.325595920347252,0.318,0.84880547225103,0.692,0.442
"Ksr2",0.658,0.331772555130692,0.316,0.636825874745515,0.902,0.657
"Stau2",0.658,0.314302935314935,0.316,0.610628323053907,0.893,0.678
"Dclk2",0.657,0.301454156875625,0.314,0.703171491405133,0.754,0.502
"Pgap1",0.657,0.339513873892483,0.314,0.976350247648675,0.614,0.339
"Fndc3a",0.656,0.341557879998713,0.312,0.770285964655911,0.75,0.518
"Arhgap24",0.656,0.62682365101217,0.312,1.78961048821073,0.438,0.132
"Pclo",0.656,0.320413901526889,0.312,0.541227926144022,0.962,0.773
"Scn3a",0.655,0.402379696343373,0.31,0.915690819271032,0.75,0.517
"Rgs17",0.654,0.379044173619183,0.308,0.971169939735081,0.674,0.414
"Tox2",0.654,0.380456654156057,0.308,1.61048143554266,0.444,0.142
"Nipal2",0.653,0.36175329447514,0.306,1.06114932156067,0.598,0.332
"Cox16",0.653,0.287879362487886,0.306,0.550450776193657,0.911,0.709
"Rev3l",0.653,0.258650904099773,0.306,0.506907988878667,0.868,0.679
"Sgcz",0.653,0.559170725212019,0.306,0.842628279293997,0.913,0.718
"Zcchc18",0.652,0.360930069018275,0.304,1.36792536828684,0.511,0.248
"Plcxd3",0.651,0.491866082577338,0.302,1.29202845544612,0.536,0.245
"Atp8a2",0.651,0.317441969040863,0.302,0.586981126259026,0.879,0.669
"Ankfn1",0.651,0.85359158973029,0.302,2.50374869427246,0.402,0.112
"Sgsm1",0.651,0.401651385957781,0.302,1.39524633929049,0.529,0.269
"Bend6",0.651,0.412507976386347,0.302,1.22206537782567,0.583,0.338
"Akap6",0.65,0.264679623220146,0.3,0.435539558497382,0.98,0.839
"Vsnl1",0.65,0.362055035703323,0.3,0.724715815699135,0.804,0.563
"Hs3st5",0.65,0.586727400368284,0.3,1.334684863117,0.589,0.34
"Zkscan16",0.65,0.371232096983268,0.3,1.40392460505256,0.502,0.246
"Trpm3",0.649,0.267409349313,0.298,0.409792994097075,0.79,0.557
"Samd4",0.649,0.179547518334112,0.298,0.426507580788124,0.647,0.354
"Grid1",0.649,0.356479506552087,0.298,0.589480687524393,0.938,0.762
"Abat",0.647,0.295965425023113,0.294,0.926213915123135,0.56,0.272
"Dgkb",0.647,0.342536240620306,0.294,0.549372553203567,0.917,0.654
"Acadsb",0.647,0.280079225244136,0.294,0.765879261556192,0.643,0.402
"Zfp804b",0.647,0.888621056061052,0.294,1.52509132012174,0.585,0.345
"Stmn2",0.647,0.309225900389559,0.294,0.889969302992679,0.621,0.363
"Dzip3",0.646,0.28505103926805,0.292,0.6288383174873,0.799,0.596
"Pkia",0.646,0.316864307514674,0.292,0.737262472245553,0.734,0.536
"Map1b",0.645,0.282353291194364,0.29,0.51009990107875,0.924,0.695
"Wsb1",0.645,0.279194497694477,0.29,0.748254857173854,0.629,0.381
"Zfp423",0.645,0.361852729054434,0.29,1.27579738850381,0.446,0.162
"Ralyl",0.645,0.370103328083307,0.29,0.568998574611,0.964,0.748
"Bicd1",0.644,0.267102446736494,0.288,0.503930864356616,0.922,0.723
"Clstn3",0.644,0.286948064752199,0.288,0.924471958290474,0.598,0.353
"Mast2",0.644,0.295812886312396,0.288,0.679105919532124,0.754,0.543
"Vwc2l",0.644,0.663315137470523,0.288,1.6636749351943,0.438,0.161
"Prepl",0.643,0.284716791068037,0.286,0.778518384088997,0.681,0.44
"Gm45341",0.643,0.510826979242899,0.286,2.71307056677163,0.342,0.059
"Akap9",0.643,0.231048034831711,0.286,0.48170627501207,0.828,0.62
"Fgf12",0.642,0.262525874637296,0.284,0.401205113237806,0.993,0.817
"Map2k4",0.642,0.281747326306701,0.284,0.574926822966698,0.855,0.652
"Ranbp17",0.642,0.269053195398461,0.284,0.674658570822736,0.674,0.438
"Gm9801",0.642,0.282768661150412,0.284,0.720615142968347,0.708,0.489
"Esrrg",0.642,0.398562498201902,0.284,0.740113125488211,0.783,0.541
"Kif1a",0.642,0.224763049948333,0.284,0.483081321343761,0.853,0.617
"A330008L17Rik",0.641,0.676843036042013,0.282,1.58420831146611,0.54,0.305
"Gtf2ird1",0.641,0.260434421727436,0.282,0.765844585108412,0.614,0.361
"Dtd1",0.641,0.286571802960164,0.282,0.691647119082305,0.719,0.488
"Astn1",0.641,0.291089404854055,0.282,0.524998274169031,0.933,0.732
"Apex2",0.64,0.267390952247883,0.28,0.706361081392618,0.683,0.457
"Nexmif",0.64,0.387780035949406,0.28,1.05103361520071,0.605,0.378
"Ftx",0.64,0.274434613140141,0.28,0.550326692040889,0.873,0.656
"Baiap3",0.64,0.478701639110242,0.28,4.00860503563675,0.297,0.017
"Insyn2b",0.64,0.467819737066975,0.28,3.25821694124768,0.317,0.04
"Hmgcll1",0.64,0.325686783352122,0.28,0.736892462042418,0.757,0.537
"Jazf1",0.64,0.32273987298825,0.28,0.622932921618235,0.853,0.647
"Tmem255a",0.639,0.383890438761606,0.278,2.91607486403786,0.321,0.046
"Gaa",0.639,0.321675595295578,0.278,1.56153283942841,0.417,0.158
"Kif5a",0.639,0.298960949380374,0.278,0.79792218863293,0.661,0.45
"9330182L06Rik",0.639,0.274598951778195,0.278,0.701037259161088,0.658,0.432
"Gm26691",0.639,0.352790150319241,0.278,0.877710713574716,0.641,0.383
"Kctd8",0.638,0.813620097717277,0.276,1.78833606970574,0.489,0.23
"Frmd3",0.638,0.360806097583486,0.276,1.12121789411567,0.554,0.326
"Nrxn2",0.637,0.236754405751992,0.274,0.606661769638458,0.667,0.442
"Jakmip2",0.637,0.26246144313555,0.274,0.522133534318684,0.893,0.665
"Vwc2",0.637,0.529492755582619,0.274,1.59391709957458,0.408,0.142
"Scn1a",0.637,0.306355782042045,0.274,0.575910835705983,0.879,0.65
"Dcc",0.636,0.386488850199404,0.272,0.594743827323978,0.895,0.735
"Mblac2",0.636,0.310987878934646,0.272,0.911023601887932,0.594,0.378
"Xpr1",0.636,0.272090715542449,0.272,0.579273229259418,0.808,0.6
"Zwint",0.635,0.299305561816356,0.27,0.866702280092932,0.603,0.391
"Klhdc10",0.635,0.275535753341218,0.27,0.602988697308631,0.786,0.598
"Sfmbt2",0.635,0.435969285480814,0.27,2.07149786196135,0.375,0.118
"Sntg1",0.635,0.348214017181379,0.27,0.551511549778254,0.975,0.752
"Sncaip",0.634,0.251612836298561,0.268,0.831119314086725,0.455,0.185
"Lrch1",0.634,0.119854278734052,0.268,0.258327674672867,0.743,0.515
"Rapgef6",0.634,0.233743342370448,0.268,0.466479456787206,0.844,0.672
"Iqsec3",0.634,0.37748719699466,0.268,1.34159735663647,0.489,0.269
"Cntn6",0.634,0.466457937354691,0.268,0.970489427033121,0.605,0.393
"Zranb2",0.634,0.2446059411782,0.268,0.471327042206804,0.891,0.719
"Sec24b",0.634,0.261934428802941,0.268,0.614852643893467,0.743,0.55
"Tenm2",0.633,0.360173084489122,0.266,0.533568993162689,0.98,0.823
"Slco3a1",0.633,0.261083211210539,0.266,0.58594177715636,0.694,0.488
"Gprasp2",0.632,0.31756561362703,0.264,1.69921227496608,0.386,0.141
"Hs6st2",0.632,0.388514812706865,0.264,0.9361990635797,0.609,0.391
"Pdzrn4",0.632,0.546129880048968,0.264,1.01017730354553,0.683,0.478
"Gng2",0.632,0.235290816747754,0.264,0.626257890717957,0.632,0.396
"Gabrb3",0.632,0.28221980119047,0.264,0.454686700068616,0.989,0.753
"Klhl32",0.632,0.31314372722973,0.264,0.727985114478579,0.663,0.456
"Lrrc49",0.631,0.259640772370883,0.262,0.641173452512479,0.692,0.491
"Cntn5",0.631,0.433882877179796,0.262,0.666243717137915,0.884,0.686
"Dync2h1",0.631,0.254412538528917,0.262,0.560435603447369,0.79,0.584
"Tcerg1l",0.631,0.45807678165356,0.262,2.13459495809366,0.355,0.101
"Ptpro",0.631,0.354345988750574,0.262,1.00770381965394,0.518,0.272
"Gm13629",0.631,0.453790053726953,0.262,1.56259349014237,0.429,0.184
"Nav1",0.631,0.228866317624843,0.262,0.495928023638795,0.743,0.54
"Thsd7b",0.631,0.530444824102931,0.262,1.01611915226222,0.576,0.324
"Pdzd4",0.63,0.276150930815377,0.26,0.822419549991007,0.609,0.402
"Ctif",0.63,0.229432752715176,0.26,0.517553012799879,0.741,0.543
"Rab27b",0.63,0.40412431144883,0.26,1.17851287557676,0.54,0.31
"Nrxn3",0.63,0.313596029594049,0.26,0.459843692615335,0.964,0.869
"Myt1l",0.63,0.242196082573083,0.26,0.388967381141971,0.98,0.747
